,tweets,polarity
0,@falusteelgmail1 @Nsa20 @SpokesManAtiku @atiku ,0.0
1,RT @Angelmichael10s: Nigerian youths are daft and in a few years we gonna be crucifying Atiku if he makes it up there. 4 years ago they was,-0.2
2,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
3,"RT @Nigerianey: POLL: @Mbuhari or @atiku 

If Nigeria's Presidential Election Holds Today Between Abubakar Atiku And Muhammadu Buhari Who W",0.0
4,@occp1967 @Jani4Tijani While you wasted the whole 3 1/2 years without any personal economic advancement waiting for https://t.co/mhJOA75EDk,0.05
5,"@Daulahotel @SpokesManAtiku @atiku Now you money e waste, person waste e owe money u dey help am cry e cry",-0.2
6,"RT @SusanHenshaw50: Hear Atiku has put down a 90 thousand dollar bond for an American visa?  Now will be a
good time to write to your senat",0.181481481481
7,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
8,"RT @SpokesManAtiku: Reports in the media that @atiku hosted a 400 person meeting in Dubai are false. For the avoidance of doubt, ours was n",-0.4
9,"RT @Intergrity56: They are saying @ProfOsinbajo  is just a VP,  there is little he can do, he has no say on extra-judicial killings, corrup",-0.1875
10,"Atiku Cautions Buhari Against Reneging On N30,000 MinimumWage https://t.co/M67GkNGu2v https://t.co/wDhMsUf9Ey",0.0
11,"Atiku Cautions Buhari Against Reneging On N30,000 MinimumWage https://t.co/3DjQbH7yHx https://t.co/VcS1zUZA7J",0.0
12,"Atiku Cautions Buhari Against Reneging On N30,000 MinimumWage https://t.co/A15pJEv5v8 https://t.co/N2O5ml5YPp",0.0
13,"Hear Atiku has put down a 90 thousand dollar bond for an American visa?  Now will be a
good time to write to your s https://t.co/Nd1BwMCnHr",0.181481481481
14,RT @AbdullShitu: 1.There is need for a paradigm shift in the way our great country have been governed for more than 3 years. His administra,0.65
15,"RT @Nigerianey: POLL: @Mbuhari or @atiku 

If Nigeria's Presidential Election Holds Today Between Abubakar Atiku And Muhammadu Buhari Who W",0.0
16,"RT @idowu553: Dangote from Northwest build 1000 housing units for IDP's in Adamawa. Atiku from Northeast, bought delegates with over #34 bi",0.0
17,"RT @SpokesManAtiku: Reports in the media that @atiku hosted a 400 person meeting in Dubai are false. For the avoidance of doubt, ours was n",-0.4
18,"Atiku Needs Crash Course On Economy, Says Oduduwa Group -  https://t.co/o4h9zg0fTa",0.0
19,@JoyOnyejekwe @OfficialPDPNig @MBuhari @EmmanuelMacron @GovWike @USEmbassyAbuja @GovIfeanyiOkowa @nassnigeria https://t.co/tEX0VaowAh,0.0
20,"RT @tijanionoruoiz: Zero integrity
""I will never go back to the PDP. PDP is beyond redemption""
Atiku Abubakar, PDP Presidential Candidate.",0.0
21,RT @Hailfinger1: The failed and discredited @MBuhari led @OfficialAPCNg government has been busted once again for lying to Nigerians. They,-0.5
22,Peter Obi as Atikus joker  Part2 https://t.co/TxMraZblYT https://t.co/2ULnOOl83d,0.0
23,"RT @DeeOneAyekooto: ""I will never go back to the PDP. PDP is beyond redemption""-Atiku Abubakar, PDP Presidential Candidate. 

"" I will neve",0.0
24,"RT @DanisaDawo: Did you know?
In 2017,Nigeria sold Oil &amp; Gas worth 104 Billion Dollars, only 38 Billion went to the account of Nigeria.- Fe",0.15
25,@iliyasu_ali @OfficialPDPNig @MBuhari @OfficialAPCNg @atiku @GovIfeanyiOkowa @bukolasaraki @renoomokri https://t.co/N6TnxXdycR,0.0
26,RT @ogundamisi: FACT-CHECK: @atiku LIED @TheEconomist DID NOT endorse Atiku for the position of @NGRPresident https://t.co/ddszy2HqWY,0.0
27,"Atiku Needs Crash Course On Economy, Says Oduduwa Group
https://t.co/o4h9zg0fTa",0.0
28,RT @Hailfinger1: The failed and discredited @MBuhari led @OfficialAPCNg government has been busted once again for lying to Nigerians. They,-0.5
29,@JuliaOnabe @OfficialPDPNig @MBuhari @EmmanuelMacron @GovWike @USEmbassyAbuja @GovIfeanyiOkowa @nassnigeria https://t.co/JSdTFCDUTg,0.0
30,"RT @retsonbiz: We've Been Told Money Will Flow Under An Atiku Presidency. The Question That's Not Being Answered is...
WHOSE MONEY?",0.0
31,"RT @Danitrask: Our choices, not our chances determine your destiny 
@atiku @YouthsForAtiku @grownigeria_ng @PeterGregoryObi https://t.co/6V",0.0
32,RT @NALOWA1: The Case for Our #leaders at the #FederalHighCourt Abuja Nigeria has been adjourned to 21st January 2019 for Hearing. Let Us C,0.0
33,"RT @gnwa2019: Who is @atiku Abubakar?
Find out more about the businessman, the mentor and the man to get Nigeria working again.

Click on t",0.5
34,"RT @DailyPostNGR: 2019: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere https://t.co/hmBag8weV1 https://t.",0.0
35,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
36,"RT @VEEGEnergy: Atiku has plans to crash fuel price, says PDP (via @Pocket) https://t.co/wvEVuUTT1y",0.0
37,RT @1Myouths4Atiku: @VOTERIGHT2019 @1Myouths4Atiku  @AtikuObi_19 @DanielOmonze @atiku @Atiku2019_USA https://t.co/Rv4Rdkw42I,0.0
38,"RT @SpokesManAtiku: Reports in the media that @atiku hosted a 400 person meeting in Dubai are false. For the avoidance of doubt, ours was n",-0.4
39,"RT @gnwa2019: Who is @atiku Abubakar?
Find out more about the businessman, the mentor and the man to get Nigeria working again.

Click on t",0.5
40,"RT @john_danfulani: BUHARIDEEN:You are following @atiku because of his dollars.

ME:You are following @MBuhari because of nono(cow milk) fr",0.0
41,Critical infrastructural projects that are supposed to boost growth. @atiku and his economic team put us on d path https://t.co/3k8NfeKJ09,0.1
42,"RT @UcheSecondus: Today, I conducted the Senate President, who is also the Director General of Atiku @atiku Presidential campaign committee",0.05
43,RT @adeyanjudeji: Atiku will win Taraba State by landslide.,0.8
