,tweets,polarity
0,RT @MAZIOBIBOND1: President Buhari is the direct founder and sponsor of Miyetti Allah and had concluded plans to provide safe heavens for a,0.3
1,Cehennem nefse ho gelen eylerle kuatlp rtlmtr. Cennet ise zorluklar ve nefsin istemedii eylerle epeev https://t.co/S1ZG1N5dbT,0.0
2,"@Pharge1 @JohnGra60799908 @adeyanjudeji Buhari Oleeeeeee
Buhari Oleeeeeee
Buhari Oleeeeeee
Buhari Oleeeeeee
Buhari https://t.co/uvf09eRKqN",0.0
3,"@ogundamisi @MBuhari @ProfOsinbajo Even with this killings, insecurity, herdsmen, bokoharam, hunger and frustration https://t.co/2j93QnFl9m",0.0
4,"RT @ngoziperpee: Only a country populated by sub-humans wil fail2recogniz dat Jubril is nt Buhari
How cm all Govt &amp;Intelligence agency in d",0.0
5,@toluogunlesi Tolu your lifeless president Buhari is a failure and must be voted out come 2019.. Buhari turn Nigeria to Somali now .,-0.316666666667
6,"RT @ckorie17: Waw waw waw! Jubril (Buhari), now, have ""Akpu Obi""(Chest musle)
Waw! What a British wonder!
Fellow Biafrans, friends of Biafr",0.0
7,"RT @DailyPostNGR: 2019: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere https://t.co/hmBag8weV1 https://t.",0.0
8,"RT @tosinadeda: Look at these pictures, they are Nigerians living in Nigeria. 

People like this have been neglected by the Govt in the pas",0.0
9,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
10,RT @Amaka_Ekwo: IPOB Family Worldwide Commences Operation Unmask Jubril Aminu Al-Sudani The Buhari Impostor. https://t.co/bkD9w0Lv2b,0.0
11,"RT @adeyanjudeji: Buhari Oleeeeeee
Buhari Oleeeeeee
Buhari Oleeeeeee
Buhari Oleeeeeee
Buhari Oleeeeeee
Buhari Oleeeeeee
Buhari Oleeeeeee
Bu",0.0
12,RT @MrStanleyNwabia: What happens to all those Buharists that have been praising PMB since yesterday? I think it's time we stop wasting our,0.0
13,"RT @modebolanle: President Donald Trump has been standing there, fielding questions from journalists for close to one and a half hours.

Wh",-0.166666666667
14,"RT @aligthebaptist: @adeyanjudeji Deji, regret is understatement. I am actually mourning. Supporting Buhari was a colossal waste of time an",0.0875
15,RT @cyberagbero: My bros dem for warri una wan enter Abj but pepper no rest? Awoof don set! Baba Buhari aka Big Bros Bubu don drop free tra,0.05
16,"RT @adeyanjudeji: BREAKING: Herdsmen kidnap 4 Reverend fathers in Delta.

Dear Nigerians, una never see anything yet. If Buhari wins 2nd te",0.15
17,"RT @adeyanjudeji: Elections under Jonathan cost N85billion in 2011 and N93b respectively in 2015. We bought Card readers, computers &amp; every",0.0
18,"RT @adeyanjudeji: What is unfortunate about Buhari is that:

If he was only clueless,
Only corrupt,
Only incompetent,

It would have been u",-0.225
19,RT @Amaka_Ekwo: Biafra: What Nnamdi Kanu will soon do to Buhari - IPOB - Daily Post Nigeria https://t.co/24VUGFjdbK,0.0
20,RT @SaharaReporters: BREAKING: US Institute Of Peace Denies Predicting Victory For Buhari | Sahara Reporters https://t.co/11frGsXC6x,0.0
21,"RT @todayng: Civil servants laud Muhammadu Buhari, labor leaders over minimum wage https://t.co/yfaXRDG02S",0.0
22,"RT @Amaka_Ekwo: Herdsmen say 'All lands belong to Buhari,' attack, rape, chase Delta women from farms - Vanguard News Nigeria https://t.co/",0.0
23,RT @MrStanleyNwabia: What happens to all those Buharists that have been praising PMB since yesterday? I think it's time we stop wasting our,0.0
24,"RT @Tutsy22: I knew the FG was not prepared to pay the proposed N30,000 minimum wage. 

The announcement that @MBuhari approved it was used",0.0
25,RT @yabaleftonline: Buharis family eats more than a thousand dollars per meal but he cant approve N30k minimum wage for civil servants,0.5
26,"RT @nafeezi: Rice revolution fake 

WAEC certificate fake 

Martin Luther king jnr award fake 

US institute of peace prediction fake 

Deg",-0.5
27,"RT @Post_Nigeria: President Buhari Faces The Greatest Integrity Test, Under Serious Pressure To Surrender Oshiomhole To DSS Operatives, EFC",0.333333333333
28,"RT @cbngov_akin1: ""Buhari integrity is fake""

""Tinubu must leave Buhari, I know he's not happy with Buhari, he must summon courage to aband",-0.45
29,RT @PremiumTimesng: EXCLUSIVE: Documents show Buhari's govt. illegally diverted N378billion NLNG dividend https://t.co/MxeDZkcdiB,-0.5
30,"RT @PDPNYF: Buhari in military uniform was taken in 1975, the Buhari with bald head was taken in 1961. The Buhari in 1961 is older than the",0.0333333333333
31,@RealOlaudah for your mind you think that any reasonal yoruba person will leave buhari for atiku with all the infrastructure going on in sw,0.0
32,"RT @OsasCruz: Thiery Henry can be Liken to Buhari, they knew all the problem and the solutions before they got in power, but they got in ch",0.0
33,"RT @IamTemitorpee: When we say ""Change is Constant,"" does that mean President Muhammad Buhari will still be our next President in 2019?",-0.104166666667
34,"RT @adeyanjudeji: Elections under Jonathan cost N85billion in 2011 and N93b respectively in 2015. We bought Card readers, computers &amp; every",0.0
35,"RT @DailyPostNGR: 2019: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere https://t.co/hmBag8weV1 https://t.",0.0
36,"RT @adeyanjudeji: What is unfortunate about Buhari is that:

If he was only clueless,
Only corrupt,
Only incompetent,

It would have been u",-0.225
37,"RT @Tutsy22: I knew the FG was not prepared to pay the proposed N30,000 minimum wage. 

The announcement that @MBuhari approved it was used",0.0
38,This is alleged under the administration of President Mohammed Buhari and the fingered governor is still same party https://t.co/JEiOKYWD4N,-0.05
39,"RT @PremiumTimesng: Presidency denies Buhari endorsed N30,000 minimum wage https://t.co/popUrHFNJI",0.0
40,"Buhari receives Prince Charles, wife in Villa READ MORE https://t.co/n1GXNxoQO8",0.5
41,"RT @MaziNnamdiKanu: Only a country populated by sub-humans will fail to recognise that Jubril is not Buhari. 

How come every government an",-0.25
